"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","refurl","Q00PARTICIPANT","Q00EXPE","Q00LIEU","Q00QUEST","QMIQ0A","QMIQ02[QMI01]","QMIQ02[QMI02]","QMIQ02[QMI03]","QMIQ02[QMI04]","QMIQ02[QMI05]","QMIQ03[QMI06]","QMIQ03[QMI07]","QMIQ03[QMI08]","QMIQ03[QMI09]","QMIQ03[QMI10]","QMIQ04[QMI11]","QMIQ04[QMI12]","QMIQ04[QMI13]","QMIQ04[QMI14]","QMIQ04[QMI15]","QMIQ05[QMI16]","QMIQ05[QMI17]","QMIQ05[QMI18]","QMIQ05[QMI19]","QMIQ05[QMI20]","QMIQ06[QMI21]","QMIQ06[QMI22]","QMIQ06[QMI23]","QMIQ06[QMI24]","QMIQ06[QMI25]","QMIQ07[QMI26]","QMIQ07[QMI27]","QMIQ07[QMI28]","QMIQ07[QMI29]","QMIQ07[QMI30]","QMIQ08[QMI31]","QMIQ08[QMI32]","QMIQ08[QMI33]","QMIQ08[QMI34]","QMIQ08[QMI35]","Q01Language","Q01Language[comment]","Q02Age","Q03Sex","Q03Sex[comment]","Q04Trouble","Q04Vision","Q04Vision[comment]","Q05Aphant","Q05Aphant[comment]","Q06Aphant","Q06Aphant[comment]","Q07Unvoluntary","Q07Unvoluntary[comment]","Q08Change","Q08Change[comment]","Q09Debrief","Q10Debrief","Q11Debrief","Q11","Q11[comment]","interviewtime","groupTime5559","Q00PARTICIPANTTime","Q00EXPETime","Q00LIEUTime","Q00QUESTTime","groupTime5036","QMIQ0ATime","QMIQ02Time","QMIQ03Time","QMIQ04Time","QMIQ05Time","QMIQ06Time","QMIQ07Time","QMIQ08Time","groupTime4906","Q01LanguageTime","Q02AgeTime","Q03SexTime","Q04TroubleTime","Q04VisionTime","Q05AphantTime","Q06AphantTime","Q07UnvoluntaryTime","Q08ChangeTime","groupTime5625","Q09DebriefTime","Q10DebriefTime","Q11DebriefTime","Q11Time"
"22","2022-03-30 13:46:21","4","fr","1450940533","2022-03-30 13:42:52","2022-03-30 13:46:21","","S011","KAY","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Oui tout était clair. ","C'est peut-être plus facile de se représenter le noir que le blanc. Et aussi, peut-etre voir si on se représente la forme avant la couleur ou la couleur avant la forme, si les deux sont indépendants ou traités de façon simultanée. ","Je me suis étouffée a la fin (désolé)","Y","","210.33","28.44","","","","","","","","","","","","","","","","","","","","","","","","181.89","","","",""
"23","2022-03-30 14:56:01","4","fr","2086773337","2022-03-30 14:31:17","2022-03-30 14:56:01","","S012","KAY","","N","OK","07","07","07","07","06","06","05","07","07","05","06","06","04","04","05","06","04","06","07","06","06","06","06","07","05","06","06","07","07","07","06","06","06","06","06","01","","21","01","","N","01","","N","","N","","Y","","Y","","Oui","La vivacité de l'image mentale varie en fonction de la présentation de la neige (pigmentation).
La vivacité de l'image mentale varie en fonction de la capacité à maintenir son regard.","Le fait de devoir fixer la croix qui disparait perturbe","Y","","1484.24","56.79","","","","","603.09","","","","","","","","","476.07","","","","","","","","","","348.29","","","",""
"24","2022-03-30 15:45:07","4","fr","765199754","2022-03-30 15:39:08","2022-03-30 15:45:07","","S013","KAY","","N","OK","04","05","03","05","04","05","06","05","07","07","04","06","03","03","03","05","05","04","04","05","03","05","05","05","06","03","05","04","05","04","04","05","05","06","07","01","","20","01","","N","02","","N","","N","","Y","","N","","oui","non","non","Y","","359.19","20.82","","","","","220.51","","","","","","","","","60.12","","","","","","","","","","57.74","","","",""
"25","2022-03-31 07:17:35","4","fr","973291732","2022-03-31 07:16:03","2022-03-31 07:17:35","","P001BR","PEARS","LABO","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Oui","Non","je sais pas","Y","","92.86","27.24","","","","","","","","","","","","","","","","","","","","","","","","65.62","","","",""
"26","2022-03-31 08:27:00","4","fr","","2022-03-31 08:23:00","2022-03-31 08:27:00","https://run.pavlovia.org/","P003BR","PEARS","LABO","N","OK","07","07","07","06","07","05","06","07","05","05","06","06","05","05","06","07","06","07","07","06","07","07","06","06","07","07","06","05","05","06","07","07","06","07","06","01","","20","01","","N","01","","N","","N","","Y","","N","","oui","","","N","","280.69","37.03","","","","","166.3","","","","","","","","","49.78","","","","","","","","","","27.58","","","",""
"27","2022-03-31 09:10:47","4","fr","2078881936","2022-03-31 09:02:29","2022-03-31 09:10:47","https://run.pavlovia.org/","P004BR","PEARS","LABO","N","OK","06","05","05","06","06","07","06","07","04","05","05","07","05","05","05","05","04","04","04","05","04","05","04","05","05","04","02","02","04","04","05","05","05","04","04","01","","37","01","","N","02","","N","","N","","Y","","N","","MOUI...","NON","OUI, J'AVAIS L'IMPRESSION DE PLUS VOIR DE LIGNES BLEUES VERTICALES. J'ESSAYAIS DONC DE ME CONCENTRER SUR LES LIGNES ROUGES ET HORIZONTALES","N","","497.72","27.91","","","","","260.03","","","","","","","","","82.47","","","","","","","","","","127.31","","","",""
"28","2022-03-31 09:39:53","4","fr","17056521","2022-03-31 09:33:03","2022-03-31 09:39:53","https://run.pavlovia.org/","P005BR","PEARS","LABO","N","OK","06","06","06","06","06","04","06","06","05","06","04","06","05","06","04","05","04","06","06","05","05","05","06","04","06","03","03","04","03","03","05","05","05","04","04","01","","22","01","","N","02","","N","","N","","Y","","N","","Oui","Non","Non","N","","412.38","29.2","","","","","243.69","","","","","","","","","87.76","","","","","","","","","","51.73","","","",""
"29","2022-03-31 10:09:25","4","fr","217505346","2022-03-31 10:02:17","2022-03-31 10:09:25","https://run.pavlovia.org/","P006BR","PEARS","LABO","N","OK","06","06","07","07","03","05","06","06","07","07","07","07","06","05","04","06","02","06","06","05","07","07","07","07","07","06","06","05","07","06","03","05","05","03","05","01","","21","01","","Y","02","","N","","N","","Y","","N","","OUI ASSEZ CLAIRE ","LES IMAGES VUES AVEC L OEIL DOMINANT EN 3D SERONT IMAGINEES PLUS FACILEMENT ET INFLUENCERONT LA PERCEPTION ","NON","Y","c.manon.26@hotmail.fr","428.77","47.38","","","","","240.88","","","","","","","","","61.95","","","","","","","","","","78.56","","","",""
"30","2022-03-31 11:47:48","4","fr","1727497707","2022-03-31 11:39:06","2022-03-31 11:47:48","https://run.pavlovia.org/","P007BR","PEARS","LABO","N","OK","05","05","03","05","05","04","03","03","04","03","05","04","03","04","03","05","05","05","05","05","03","05","04","03","03","04","03","02","02","01","05","03","05","03","03","01","","20","01","","N","01","","N","","N","","FORGT","","N","","Oui","Non","Non","Y","","522.13","24.95","","","","","329.9","","","","","","","","","62.18","","","","","","","","","","105.1","","","",""
"31","2022-03-31 12:20:55","4","fr","263619907","2022-03-31 12:18:12","2022-03-31 12:20:55","https://run.pavlovia.org/","P008BR","PEARS","LABO","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Oui ","La couleur que l'on doit imaginer lorsque qu'on voit C ou R va influencer sur la couleur que l'on va voir saillante après.","Non aucun","Y","","164.34","36.43","","","","","","","","","","","","","","","","","","","","","","","","127.91","","","",""
"32","2022-03-31 12:59:28","4","fr","1366436644","2022-03-31 12:50:14","2022-03-31 12:59:28","https://run.pavlovia.org/","P009BR","PEARS","LABO","N","OK","04","05","02","05","05","06","05","04","03","05","05","05","06","06","06","04","05","06","05","05","04","04","04","02","05","03","04","05","06","06","05","05","04","05","05","01","","20","01","","N","02","","Y","Dans une vidéo youtube.","N","","Y","","N","","oui","Peut être que l'imagination a une influence sur la perception.","non","Y","","554.55","40.14","","","","","290.31","","","","","","","","","107.08","","","","","","","","","","117.02","","","",""
"33","2022-03-31 13:34:53","4","fr","1537163440","2022-03-31 13:27:56","2022-03-31 13:34:53","https://run.pavlovia.org/","P010PR","PEARS","OL","N","OK","05","03","06","07","07","06","07","07","03","07","06","07","07","07","07","06","07","07","07","07","07","07","07","05","06","03","04","06","05","07","07","07","05","07","07","01","","20","01","","N","03","","Y","","N","","Y","","N","","OUI","NON","NON","Y","","419.17","30.46","","","","","227.49","","","","","","","","","110.55","","","","","","","","","","50.67","","","",""
"34","2022-03-31 14:05:44","4","fr","536780572","2022-03-31 14:01:13","2022-03-31 14:05:44","https://run.pavlovia.org/","P011BR","PEARS","LABO","N","OK","06","06","05","05","05","05","06","06","05","07","06","07","07","06","06","07","05","06","06","06","05","05","06","05","07","05","06","06","07","05","07","07","06","07","05","01","","20","01","","N","01","","N","","N","","Y","","Y","","Oui","Non ","Non","Y","","272.5","34.44","","","","","147.9","","","","","","","","","64.57","","","","","","","","","","25.59","","","",""
"35","2022-03-31 14:48:36","4","fr","1757536032","2022-03-31 14:39:30","2022-03-31 14:48:36","https://run.pavlovia.org/","P012BR","PEARS","LABO","N","OK","06","06","05","05","04","05","05","04","03","04","05","05","04","05","04","03","03","04","04","04","04","05","04","04","05","05","04","03","04","04","04","04","05","05","04","03","berbère","35","01","","N","02","","N","","N","","Y","","N","","oui","non","non","Y","","546.88","45.1","","","","","378.09","","","","","","","","","90.61","","","","","","","","","","33.08","","","",""
"36","2022-03-31 15:47:19","4","fr","878123270","2022-03-31 15:39:19","2022-03-31 15:47:19","https://run.pavlovia.org/","P014BR","PEARS","LABO","N","OK","07","06","06","07","06","05","05","06","06","06","06","06","06","06","07","06","05","06","06","06","06","06","06","06","07","05","05","06","06","06","07","05","05","06","07","01","et turc","21","02","","N","01","","Y","","N","","Y","","Y","","Oui","Non","non","Y","","481.28","50.43","","","","","169.08","","","","","","","","","136.75","","","","","","","","","","125.02","","","",""
"37","2022-04-01 07:49:48","4","fr","1579435108","2022-04-01 07:42:34","2022-04-01 07:49:48","","S014","KAY","","N","OK","05","06","06","05","05","07","07","03","03","05","07","07","07","07","05","07","05","07","07","04","07","04","07","07","07","05","06","07","07","04","04","04","03","06","06","01","","19","01","","N","02","","N","","Y","","Y","","N","","Oui ","Non","Non","Y","","434.2","16.13","","","","","283.92","","","","","","","","","86.1","","","","","","","","","","48.05","","","",""
"38","2022-04-01 08:43:47","4","fr","916398122","2022-04-01 08:35:05","2022-04-01 08:43:47","","S015","KAY","","N","OK","05","05","06","07","07","05","02","04","05","05","03","04","05","02","05","06","04","06","06","05","02","03","05","03","02","02","02","03","02","01","05","06","03","07","01","01","","18","01","","N","01","arrive de faire des migraines ophtalmiques","Y","","Y","","Y","","N","","oui","oui, comparer des personnes ""normale"" avec des personnes aphantasiques.","non","Y","","523.52","21.01","","","","","258.18","","","","","","","","","152.58","","","","","","","","","","91.75","","","",""
"39","2022-04-01 09:53:07","4","fr","219396870","2022-04-01 09:39:27","2022-04-01 09:53:07","","S016","KAY","","N","OK","06","06","04","05","07","07","07","07","05","07","07","07","06","05","05","07","06","06","07","07","06","07","07","05","07","04","05","07","06","03","07","07","06","07","07","01","","24","01","","N","01","","N","","N","","Y","","N","","Oui","L'aphantasie joue sur notre manière d'imaginer les formes et couleurs, mais joue-t-elle sur notre vision d'imaginer et de voir les objets du quotidien, ainsi que les sensations ?","Non","Y","","822.07","13.06","","","","","305.57","","","","","","","","","215.64","","","","","","","","","","287.8","","","",""
"40","2022-04-01 12:50:35","4","fr","1288020314","2022-04-01 12:39:27","2022-04-01 12:50:35","","S017","KAY","","N","OK","07","07","07","07","06","07","07","07","07","07","05","05","06","07","07","05","05","07","07","07","07","07","07","05","07","07","03","07","07","07","07","07","06","07","07","01","","20","01","","N","02","","Y","il me semble que se sont des personnes qui n'arrivent pas à visualiser des images dans leur tête.","N","","Y","","Y","","oui","Il y a une différence de visualisation entre les personnes atteintes d'aphantasie visuelle et celle qui n'en sont pas atteinte.","le fait de ne pas pouvoir cligner des yeux","Y","","669.41","9.02","","","","","272.25","","","","","","","","","223.77","","","","","","","","","","164.37","","","",""
"41","2022-04-04 08:54:02","4","fr","1133472680","2022-04-04 08:44:17","2022-04-04 08:54:02","","S018","KAY","","N","OK","05","04","06","07","07","02","02","03","02","04","02","04","02","04","04","05","03","05","03","06","04","04","03","02","06","02","01","01","03","03","05","02","05","06","06","01","","21","01","","N","01","","N","","N","","NOSUR","","N","","Plutôt claire, quant aux objectifs de l'expérience.","La capacité a garder une forme bien précise des secondes après l'avoir vu.","Non.","Y","","587.24","15.53","","","","","274.09","","","","","","","","","94.3","","","","","","","","","","203.32","","","",""
"42","2022-04-04 10:47:20","4","fr","276818412","2022-04-04 10:37:50","2022-04-04 10:47:20","","S019","KAY","","N","OK","05","04","05","05","05","05","06","05","03","05","04","05","04","03","05","05","03","04","05","03","04","04","05","05","06","02","01","03","05","05","04","05","05","05","04","01","","18","01","","N","02","","Y","C'est avoir du mal à imaginer les choses dans sa tete ","N","","Y","","Y","","oui","la capicité de s'imaginer les choses dans notre tete","non","Y","","571.79","30.55","","","","","301.38","","","","","","","","","182.98","","","","","","","","","","56.88","","","",""
"43","2022-04-04 12:49:09","4","fr","2138491326","2022-04-04 12:37:14","2022-04-04 12:49:09","","S020","KAY","","N","OK","06","07","03","07","05","03","05","07","02","05","04","06","07","03","07","06","05","07","06","06","05","04","02","03","05","01","03","04","06","01","06","07","05","07","06","01","","18","02","","N","01","","N","","N","","Y","","N","","OUI","OUI, TAILLE DE LA RETiNE DIFFéRENTE selon l'intensité de la lumière que l'on imagine ","oui au début de l'expérience j'avais du mal avec l'image rémanente mais au bout de plusieurs essais j'ai réussi à m'aider des contour pour éclaircir ou noircir la zone en question selon la cosigne  ","Y","","716.05","13.84","","","","","304.65","","","","","","","","","196.49","","","","","","","","","","201.07","","","",""
"44","2022-04-05 07:44:11","4","fr","142025425","2022-04-05 07:33:44","2022-04-05 07:44:11","","S021","KAY","","N","OK","07","07","07","07","06","07","07","07","03","07","07","07","07","07","07","06","05","06","07","07","05","06","06","07","07","07","06","07","07","07","07","07","05","07","07","01","","19","01","","N","01","","N","","N","","Y","","N","","oui","je pense qu'on regarde comment les yeux bougent quand on imagine","non","Y","","628.88","34.77","","","","","298.72","","","","","","","","","178.98","","","","","","","","","","116.41","","","",""
"45","","0","fr","529586356","2022-04-05 08:22:17","2022-04-05 08:23:00","https://run.pavlovia.org/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.02","43.02","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","2022-04-05 09:00:30","4","fr","378247720","2022-04-05 08:49:54","2022-04-05 09:00:30","","S022","KAY","","N","OK","06","05","06","07","06","06","04","06","05","07","04","07","07","05","06","05","04","06","05","03","07","03","06","04","06","01","04","05","06","03","07","06","06","06","04","01","","19","01","","N","02","","Y","En cours de Questions actuelles en psychologie cognitive","N","","Y","","N","","Oui","Non","Quand il a fallu imaginé les applaudissements dans le questionnaire, des personnes ont applaudi à coté juste avant","Y","","637.14","10.29","","","","","398.98","","","","","","","","","99.48","","","","","","","","","","128.39","","","",""
"47","2022-04-05 09:51:05","4","fr","1562498554","2022-04-05 09:41:42","2022-04-05 09:51:05","","S023","KAY","","N","OK","05","06","04","07","06","06","07","07","03","07","02","07","05","03","04","06","02","03","07","05","03","03","03","02","05","06","02","06","06","05","07","03","06","07","05","01","","18","01","","N","01","","N","","N","","Y","","Y","Au fil des années elles sont de plus en plus apparues sous forme ""d'images"" dans mon esprit. ","Oui","Oui, peut-être mesurer à quel point notre imagerie se fait ? ","Oui, la première expérience avec l'effet ""neige"" qui faisait que c'était plus difficile de me concentrer sur la croix du milieu et donc, de visualiser le triangle du début","Y","","564.05","22.12","","","","","216.18","","","","","","","","","164.54","","","","","","","","","","161.21","","","",""
"48","2022-04-05 10:42:14","4","fr","1286989827","2022-04-05 10:35:45","2022-04-05 10:42:14","","S024","KAY","","N","OK","06","06","05","06","03","07","07","07","06","05","05","05","06","07","02","05","02","02","03","04","04","01","02","02","04","04","03","01","02","01","07","07","07","07","04","01","","20","01","","N","02","","N","","Y","","Y","","Y","","Oui","","","N","","390.37","22.57","","","","","192.28","","","","","","","","","103.91","","","","","","","","","","71.61","","","",""
"49","2022-04-05 12:59:22","4","fr","670685363","2022-04-05 12:52:19","2022-04-05 12:59:22","","S025","KAY","","N","OK","06","06","06","06","05","04","04","04","03","05","05","04","04","03","03","03","03","04","04","04","05","05","04","04","04","05","02","03","03","02","05","05","07","05","05","01","","20","01","","N","01","","Y","En cours","N","","Y","","N","","Oui","Non","","Y","","424.78","24.18","","","","","246.08","","","","","","","","","124.54","","","","","","","","","","29.98","","","",""
"50","2022-04-05 13:49:34","4","fr","1499152897","2022-04-05 13:41:49","2022-04-05 13:49:34","","S026","KAY","","N","OK","04","04","05","06","06","04","05","06","06","07","05","05","05","05","06","04","04","05","04","05","06","06","06","06","06","05","06","06","06","06","06","05","06","06","06","01","","22","01","","N","01","","N","","Y","","Y","","Y","","OUI","NON","NON","Y","","465.89","15.26","","","","","299.06","","","","","","","","","115.2","","","","","","","","","","36.37","","","",""
"51","2022-04-05 14:52:11","4","fr","1235152672","2022-04-05 14:37:23","2022-04-05 14:52:11","","S027","KAY","","N","OK","06","07","07","07","06","07","07","07","07","07","07","07","07","07","07","07","07","07","07","07","07","07","07","07","07","07","07","06","07","06","07","07","07","06","07","01","","19 ","01","","N","01","","Y","","N","","Y","","N","","oui ","je pense qu'en imaginant à la couleur ou la forme, notre pupille se dilaterait presque aussi bien que si on la verrait vraiment?","en tout cas j'y pensais pendant l'expérience donc je ne sais pas ce qui se serait passé dans un autre cas.","Y","","889.96","25.3","","","","","473.33","","","","","","","","","179.57","","","","","","","","","","211.76","","","",""
"52","2022-04-06 07:55:23","4","fr","728938927","2022-04-06 07:44:20","2022-04-06 07:55:23","","S028","KAY","","N","OK","06","06","05","06","04","06","05","05","06","05","03","04","03","04","04","05","03","04","04","04","05","05","02","03","04","05","04","04","05","04","06","06","04","06","05","01","","19","01","","N","02","","N","","N","","Y","","Y","","oui","L'étude de l'aphantasie.","Non","Y","","663.98","23.9","","","","","344.31","","","","","","","","","185.05","","","","","","","","","","110.72","","","",""
"53","2022-04-06 08:48:24","4","fr","495503078","2022-04-06 08:41:53","2022-04-06 08:48:24","","S029","KAY","","N","OK","06","05","05","06","05","06","06","06","04","05","03","05","05","05","04","05","04","06","06","05","05","05","04","03","06","03","05","05","05","01","03","05","02","04","04","01","","20","01","","N","01","","N","","Y","","Y","","N","","oui tres claire.","","non je ne pense pas.","Y","","393.5","24.67","","","","","188.54","","","","","","","","","112.61","","","","","","","","","","67.68","","","",""
"54","2022-04-06 09:51:20","4","fr","303767312","2022-04-06 09:45:05","2022-04-06 09:51:20","","S030","KAY","","N","OK","06","05","02","07","06","05","06","06","06","07","06","06","06","06","05","04","03","06","06","07","01","02","03","03","03","05","05","01","06","06","07","07","06","07","06","01","","20","01","","N","02","","N","","N","","FORGT","","N","","oui","non","non","Y","","375.5","18.46","","","","","228.92","","","","","","","","","83.55","","","","","","","","","","44.57","","","",""
"55","2022-04-06 10:52:14","4","fr","868544178","2022-04-06 10:44:16","2022-04-06 10:52:14","","S031","KAY","","N","OK","05","04","05","05","03","06","06","06","05","06","06","06","06","05","05","06","05","06","06","05","05","04","04","05","06","03","05","03","02","02","05","06","03","05","03","01","","19","01","","N","02","","N","","Y","","Y","","N","","OUI","NON","NON","Y","","479.36","48.58","","","","","318.03","","","","","","","","","62.11","","","","","","","","","","50.64","","","",""
"56","2022-04-06 12:45:33","4","fr","1428589301","2022-04-06 12:39:28","2022-04-06 12:45:33","","S032","KAY","","N","OK","06","06","05","06","05","05","06","05","04","06","06","06","05","04","05","05","06","05","06","05","06","06","07","06","06","06","04","03","05","05","06","05","06","06","06","01","","19","01","","N","02","","Y","","N","","Y","","Y","","OUI","non","non","Y","","365.88","32.42","","","","","190.91","","","","","","","","","95.11","","","","","","","","","","47.44","","","",""
"57","2022-04-06 13:49:56","4","fr","1784084645","2022-04-06 13:37:46","2022-04-06 13:49:56","","S033","KAY","","N","OK","05","05","06","06","05","04","04","03","03","05","05","06","05","04","05","05","03","04","05","04","05","04","05","06","06","03","04","05","06","05","04","05","03","05","05","01","","19","01","","N","02","","N","","N","Cela dépend de ce que je dois imaginer et de si mes yeux sont ouverts ou fermés.","Y","","N","","Oui , la procédure était très claire.","J'imagine que l'hypothèse est en rapport avec la taille de la pupille selon notre imagerie mentale. Je ne saurai pas préciser plus.","J'ai remarqué que j'avais du mal à m'imaginer les triangles quand il y a le bruit, que je dois rester concentrée sur la croix et que les ""mouches"" apparaissent. Je suis plus à l'aise quand je dois imaginer en fermant les yeux.","Y","","731.73","16.41","","","","","338.41","","","","","","","","","141.25","","","","","","","","","","235.66","","","",""
